Symbol,Company_Name,Sector,Data_Exising,History_Existing
ACXP,Acurx Pharmaceuticals Inc. Common Stock,Health Care,True,821.0
ADAG,Adagene Inc. American Depositary Shares,Health Care,True,916.0
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Health Care,True,2367.0
ADBE,Adobe Inc. Common Stock,Technology,True,6225.0
ADC,Agree Realty Corporation Common Stock,Real Estate,True,6225.0
ADCT,ADC Therapeutics SA Common Shares,Health Care,True,1100.0
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,Consumer Discretionary,True,3997.0
ADEA,Adeia Inc. Common Stock,Technology,True,5254.0
ADGM,Adagio Medical Holdings Inc Common Stock,Health Care,True,41.0
ADI,Analog Devices Inc. Common Stock,Technology,True,6225.0
ADIL,Adial Pharmaceuticals Inc Common Stock,Health Care,True,1554.0
ADM,Archer-Daniels-Midland Company Common Stock,Consumer Staples,True,6225.0
ADMA,ADMA Biologics Inc Common Stock,Health Care,True,2756.0
ADNT,Adient plc Ordinary Shares ,Consumer Discretionary,True,2001.0
ADP,Automatic Data Processing Inc. Common Stock,Technology,True,6225.0
ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,True,1324.0
ADRT,Ault Disruptive Technologies Corporation Common Stock,Finance,True,663.0
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Consumer Discretionary,True,896.0
ADSK,Autodesk Inc. Common Stock,Technology,True,6225.0
ADT,ADT Inc. Common Stock,Consumer Discretionary,True,1685.0
ADTN,ADTRAN Holdings Inc. Common Stock,Utilities,True,6225.0
ADTX,Aditxt Inc. Common Stock,Health Care,True,1070.0
ADUS,Addus HomeCare Corporation Common Stock,Health Care,True,3755.0
ADV,Advantage Solutions Inc. Class A Common Stock,Consumer Discretionary,True,1194.0
ADVM,Adverum Biotechnologies Inc. Common Stock,Health Care,True,2559.0
ADX,Adams Diversified Equity Fund Inc.,Finance,True,6225.0
ADXN,Addex Therapeutics Ltd American Depositary Shares,Health Care,True,1166.0
AE,Adams Resources & Energy Inc. Common Stock,Energy,True,6225.0
AEE,Ameren Corporation Common Stock,Utilities,True,6225.0
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,Finance,True,6225.0
AEG,Aegon Ltd. New York Registry Shares,Finance,True,6225.0
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,Industrials,True,4225.0
AEHR,Aehr Test Systems Common Stock,Industrials,True,6225.0
AEI,Alset Inc. Common Stock (TX),Finance,True,966.0
AEIS,Advanced Energy Industries Inc. Common Stock,Technology,True,6225.0
AEM,Agnico Eagle Mines Limited Common Stock,Basic Materials,True,6225.0
AEMD,Aethlon Medical Inc. Common Stock,Health Care,True,6225.0
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,Consumer Discretionary,True,886.0
AEO,American Eagle Outfitters Inc. Common Stock,Consumer Discretionary,True,6225.0
AEON,AEON Biopharma Inc. Class A Common Stock,Health Care,True,300.0
AEP,American Electric Power Company Inc. Common Stock,Utilities,True,6225.0
AER,AerCap Holdings N.V. Ordinary Shares,Consumer Discretionary,True,4493.0
AERT,Aeries Technology Inc. Class A Ordinary Share,Consumer Discretionary,True,699.0
AES,The AES Corporation Common Stock,Utilities,True,6225.0
AESI,Atlas Energy Solutions Inc. Common Stock,Industrials,True,393.0
AEVA,Aeva Technologies Inc. Common Stock,Consumer Discretionary,True,1156.0
AEYE,AudioEye Inc. Common Stock,Technology,True,2877.0
AFB,AllianceBernstein National Municipal Income Fund Inc,Finance,True,5707.0
AFBI,Affinity Bancshares Inc. Common Stock (MD),Finance,True,1868.0
AFCG,AFC Gamma Inc. Common Stock,Finance,True,889.0
AFG,American Financial Group Inc. Common Stock,Finance,True,6225.0
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,Finance,True,1132.0
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,Finance,True,1182.0
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,Finance,True,1088.0
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,Finance,True,1014.0
AFL,AFLAC Incorporated Common Stock,Finance,True,6225.0
AFMD,Affimed N.V.,Health Care,True,2529.0
