Symbol,Company_Name,Sector,Data_Exising,History_Existing,IPO_Year,Country,Industry
AKR,Acadia Realty Trust Common Stock,Real Estate,True,6225.0,,United States,Real Estate Investment Trusts
ALB,Albemarle Corporation Common Stock,Industrials,True,6225.0,,United States,Major Chemicals
ALE,Allete Inc.,Utilities,True,6225.0,,United States,Power Generation
ALG,Alamo Group Inc. Common Stock,Industrials,True,6225.0,,United States,Industrial Machinery/Components
ALK,Alaska Air Group Inc. Common Stock,Consumer Discretionary,True,6225.0,,United States,Air Freight/Delivery Services
ALKS,Alkermes plc Ordinary Shares,Health Care,True,6225.0,1991.0,Ireland,Biotechnology: Pharmaceutical Preparations
ALL,Allstate Corporation (The) Common Stock,Finance,True,6225.0,,United States,Property-Casualty Insurers
ALNT,Allient Inc. Common Stock,Industrials,True,6225.0,,United States,Electrical Products
ALOT,AstroNova Inc. Common Stock,Technology,True,6225.0,1983.0,United States,Computer peripheral equipment
ALTS,ALT5 Sigma Corporation Common Stock,Consumer Discretionary,True,6225.0,,United States,Home Furnishings
ALV,Autoliv Inc. Common Stock,Consumer Discretionary,True,6225.0,,Sweden,Auto Parts:O.E.M.
ALX,Alexander's Inc. Common Stock,Real Estate,True,6225.0,,United States,Real Estate Investment Trusts
AMAT,Applied Materials Inc. Common Stock,Technology,True,6225.0,1972.0,United States,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,Technology,True,6225.0,,United States,Semiconductors
AME,AMETEK Inc.,Industrials,True,6225.0,,United States,Industrial Machinery/Components
AMED,Amedisys Inc Common Stock,Health Care,True,6225.0,,United States,Medical/Nursing Services
AMG,Affiliated Managers Group Inc. Common Stock,Finance,True,6225.0,,United States,Investment Managers
AMGN,Amgen Inc. Common Stock,Health Care,True,6225.0,1983.0,United States,Biotechnology: Biological Products (No Diagnostic Substances)
AMKR,Amkor Technology Inc. Common Stock,Technology,True,6225.0,1998.0,United States,Semiconductors
AMRN,Amarin Corporation plc,Health Care,True,6225.0,,Ireland,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,Health Care,True,6225.0,1988.0,United States,Medical Specialities
AMSC,American Superconductor Corporation Common Stock,Consumer Discretionary,True,6225.0,1991.0,United States,Metal Fabrications
AMT,American Tower Corporation (REIT) Common Stock,Real Estate,True,6225.0,,United States,Real Estate Investment Trusts
AMWD,American Woodmark Corporation Common Stock,Basic Materials,True,6225.0,1986.0,United States,Forest Products
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,True,6225.0,1997.0,United States,Catalog/Specialty Distribution
AN,AutoNation Inc. Common Stock,Consumer Discretionary,True,6225.0,,United States,Retail-Auto Dealers and Gas Stations
ANDE,Andersons Inc. (The) Common Stock,Industrials,True,6225.0,,United States,Farming/Seeds/Milling
ANF,Abercrombie & Fitch Company Common Stock,Consumer Discretionary,True,6225.0,,United States,Clothing/Shoe/Accessory Stores
ANIK,Anika Therapeutics Inc. Common Stock,Health Care,True,6225.0,,United States,Medical/Dental Instruments
ANIX,Anixa Biosciences Inc. Common Stock,Health Care,True,6225.0,,United States,Biotechnology: Pharmaceutical Preparations
ANSS,ANSYS Inc. Common Stock,Technology,True,6225.0,1996.0,United States,Computer Software: Prepackaged Software
AON,Aon plc Class A Ordinary Shares (Ireland),Finance,True,6225.0,,United States,Specialty Insurers
AORT,Artivion Inc. Common Stock,Health Care,True,6225.0,,United States,Medical/Dental Instruments
AOS,A.O. Smith Corporation Common Stock,Consumer Discretionary,True,6225.0,,United States,Consumer Electronics/Appliances
